1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
    48	 0.41893	 0.17758	 0.32438	 0.36549	 0.66851	 0.78475	 0.43426	 0.13865	 0.01572	 0.09397	-0.04929	 0.10172	 0.01980	 0.04867	 0.07771	 0.02687	 0.13152	 0.04947	 0.02493	 0.05592	 0.00164	 0.01740	-0.03656	 0.07129	 0.18357	 0.06818	-0.01468	 0.11928	 0.33301	 0.22331	 0.30669	 0.15500	 1.31660	 0.74566	 0.41685	 0.64026	NULL
    49	 0.39419	 0.21294	 0.33589	 0.38019	 0.71183	 0.80555	 0.41590	 0.14514	 0.00255	 0.09334	-0.06940	 0.10000	 0.00287	 0.04621	 0.05947	 0.02436	 0.09953	 0.04307	-0.00166	 0.04994	-0.02449	 0.01490	-0.04414	 0.06335	 0.14982	 0.04646	-0.00727	 0.05952	 0.32334	 0.20492	 0.30669	 0.15500	 1.36813	 0.78172	 0.15658	 1.01398	NULL
    50	 0.42290	 0.20217	 0.36495	 0.36991	 0.72044	 0.82088	 0.39756	 0.15163	-0.01587	 0.10026	-0.08947	 0.09827	-0.00419	 0.04445	 0.04855	 0.02336	 0.08275	 0.03914	-0.01628	 0.04717	-0.02938	 0.00869	-0.06155	 0.06954	 0.11652	 0.04180	-0.05401	 0.07653	 0.31367	 0.18657	 0.32173	 0.13370	 1.39746	 0.80025	 0.21758	 0.71869	NULL
    51	 0.43923	 0.20909	 0.34738	 0.39491	 0.74624	 0.86703	 0.37922	 0.15811	-0.04215	 0.09900	-0.10954	 0.09654	-0.02284	 0.04155	 0.03033	 0.02086	 0.04525	 0.03145	-0.04495	 0.04089	-0.05356	 0.00350	-0.08648	 0.06778	 0.06651	 0.02630	-0.04669	 0.01703	 0.30401	 0.16824	 0.30669	 0.15500	 1.44919	 0.83633	 0.21758	 0.71869	NULL
    52	 0.42684	 0.22681	 0.37648	 0.38462	 0.75486	 0.88246	 0.36090	 0.16459	-0.05527	 0.09836	-0.12958	 0.09481	-0.02989	 0.03980	 0.02086	 0.02016	 0.02394	 0.02853	-0.05955	 0.03812	-0.06468	-0.00044	-0.07666	 0.05369	 0.04977	 0.01547	-0.09327	 0.03398	 0.30401	 0.16824	 0.30669	 0.15500	 1.47681	 0.85183	 0.21758	 0.71869	NULL
    53	 0.44321	 0.23375	 0.35889	 0.40966	 0.78066	 0.92890	 0.32430	 0.17754	-0.06311	 0.09019	-0.14960	 0.09307	-0.04676	 0.03734	 0.00271	 0.01763	-0.01390	 0.01967	-0.08707	 0.03199	-0.09314	-0.00603	-0.11893	 0.05810	-0.00003	 0.00003	-0.08600	-0.02527	 0.28467	 0.13170	 0.28845	 0.16164	 1.51472	 0.88592	 0.27754	 0.42540	NULL
    54	 0.44321	 0.23375	 0.35889	 0.40966	 0.78928	 0.94441	 0.34550	 0.14736	-0.07620	 0.08954	-0.16959	 0.09133	-0.05555	 0.03514	-0.00598	 0.01581	-0.03343	 0.01615	-0.10054	 0.02936	-0.11237	-0.00501	-0.12646	 0.05018	-0.01670	-0.01076	-0.13245	-0.00836	 0.25451	 0.14302	 0.30349	 0.14034	 1.52843	 0.89935	 0.27754	 0.42540	NULL
    55	 0.45957	 0.24070	 0.37040	 0.42444	 0.79788	 0.95997	 0.30893	 0.16029	-0.09713	 0.08074	-0.18089	 0.07711	-0.07344	 0.03416	-0.02634	 0.01413	-0.07175	 0.00817	-0.12790	 0.02479	-0.14264	-0.00794	-0.13887	 0.04930	-0.05001	-0.03228	-0.12525	-0.06739	 0.24488	 0.12479	 0.28526	 0.14697	 1.54726	 0.92216	 0.27754	 0.42540	NULL
    56	 0.45957	 0.24070	 0.37040	 0.42444	 0.80650	 0.97554	 0.31184	 0.13662	-0.12853	 0.08699	-0.22943	 0.08610	-0.08326	 0.03347	-0.03645	 0.01200	-0.09056	 0.00374	-0.14289	 0.02271	-0.15559	-0.00919	-0.15129	 0.04842	-0.08255	-0.02007	-0.17153	-0.05054	 0.23524	 0.10659	 0.28207	 0.13233	 1.55765	 0.92941	 0.27754	 0.42540	NULL
    57	 0.44715	 0.25846	 0.37040	 0.42444	 0.80650	 0.97554	 0.29357	 0.14307	-0.14938	 0.07819	-0.26920	 0.08259	-0.10289	 0.03206	-0.05821	 0.00999	-0.13318	-0.00527	-0.17439	 0.01911	-0.18768	-0.00945	-0.18099	 0.05369	-0.13193	-0.03548	-0.21776	-0.03371	 0.19558	 0.09969	 0.26387	 0.13895	 1.58018	 0.94130	 0.27754	 0.42540	NULL
